ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,Spotify_pop_category,Release year,Clean_track,Clean_album,Clean_artist
QZJ842000368,523.0,67.3,1320495311.0,280937.0,43396860.0,446997037.0,4911417.0,178619501.0,1355578291.0,191.0,1353.0,4854882.0,1.0,Least popular,2020,Lemonade,Lemonade,Internet Money
USSM12006586,524.0,67.0,927908363.0,192182.0,29317288.0,201781716.0,2768029.0,276254807.0,2189403368.0,179.0,534728.0,7471087.810244013,1.0,Well-known,2020,WITHOUT YOU,F*CK LOVE,The Kid LAROI
USRC12302777,527.0,66.9,70652012.0,20841.0,15882127.0,74067917.0,702482.0,1361002.0,13499846.0,47.0,145261.0,1275094.0,1.0,Well-known,2023,Sensational,Sensational  - Single,Chris Brown
US39N2203950,526.0,66.9,415699405.0,131562.0,25729246.0,120716253.0,1505981.0,43271885.0,459919455.0,37.0,59291.0,1781022.0,1.0,Well-known,2022,LET GO,LET GO,Central Cee
USC4R2338087,525.0,66.9,250321751.0,34.0,302.0,402784101.12144524,2930658.9799206164,117962783.7,1115708908.3,8.0,47663.2,755115.0684313143,0.0,Well-known,2023,Blister In The Sun,Violent Femmes,Violent Femmes
QMCE32000145,528.0,66.8,428986855.0,49403.0,19102863.0,179237329.0,1934526.0,807114884.0,7823796917.0,151.0,162045.0,2104217.0,1.0,Least popular,2020,Savage  - R,Savage,Megan Thee Stallion
USAT21903300,529.0,66.8,922761340.0,176497.0,26466335.0,469284408.0,5223780.0,684428445.0,5254571599.0,99.0,6060.0,4594225.0,0.0,Hot track,2019,No Idea,No Idea,Don Toliver
USUM71516761,530.0,66.8,2423583406.0,221550.0,85152861.0,2154325842.0,11828484.0,54794151.0,546197873.0,287.0,216976.0,16182850.0,0.0,Hot track,2015,Love Yourself,Love Yourself,Justin Bieber
QZ9QQ2400125,531.0,66.7,188154454.0,6068.0,47264152.0,124152999.0,632963.0,2121100.0,27500000.0,32.0,18.0,445052.0,0.0,Hot track,2024,T,Dolido Pero No Arrepentido - EP,Fuerza Regida
ITH642025474,532.0,66.6,149072.0,53.0,14039.0,402784101.12144524,2930658.9799206164,29203710.0,339961056.0,7.484123176596131,5790.0,857.0,0.0,Least popular,2021,Cari Mama Muda  - Original Mix,Cari Mama Muda,Carella
QMRSZ2203220,533.0,66.5,166866092.0,26335.0,16587886.0,49337131.0,600551.0,9453847.0,133788711.0,24.293422381433214,484892.0,1174949.0,0.0,Hot track,2022,Need A Favor,NEED A FAVOR,Jelly Roll
